name,telescope,exptime,jd,date,filename,note,nimages
dark_2460278_300s,B&C,300.0,2460278.175524691,2023-11-29T15:56:05.03,/local/jack/src/Pouakai/output/master/dark/dark_2460278_300s.fits.gz,good,3.0
dark_2460278_2s,B&C,2.0,2460278.173336728,2023-11-29T16:26:33.51,/local/jack/src/Pouakai/output/master/dark/dark_2460278_2s.fits.gz,good,3.0
dark_2460278_27s,B&C,27.0,2460278.181914777,2023-11-29T16:38:37.51,/local/jack/src/Pouakai/output/master/dark/dark_2460278_27s.fits.gz,good,3.0
dark_2460278_25s,B&C,25.0,2460278.182348765,2023-11-29T16:05:54.78,/local/jack/src/Pouakai/output/master/dark/dark_2460278_25s.fits.gz,good,3.0
dark_2460278_24s,B&C,24.0,2460278.182759684,2023-11-29T16:39:50.52,/local/jack/src/Pouakai/output/master/dark/dark_2460278_24s.fits.gz,good,3.0
dark_2460278_22s,B&C,22.0,2460278.183158912,2023-11-29T16:23:45.02,/local/jack/src/Pouakai/output/master/dark/dark_2460278_22s.fits.gz,good,3.0
dark_2460278_20s,B&C,20.0,2460278.1835350697,2023-11-29T16:24:17.51,/local/jack/src/Pouakai/output/master/dark/dark_2460278_20s.fits.gz,good,3.0
dark_2460278_1s,B&C,1.5,2460278.1734813657,2023-11-29T16:26:46.01,/local/jack/src/Pouakai/output/master/dark/dark_2460278_1s.fits.gz,good,3.0
dark_2460278_18s,B&C,18.0,2460278.17519483,2023-11-29T15:55:36.53,/local/jack/src/Pouakai/output/master/dark/dark_2460278_18s.fits.gz,good,3.0
dark_2460278_17s,B&C,17.0,2460278.17425135,2023-11-29T16:27:52.51,/local/jack/src/Pouakai/output/master/dark/dark_2460278_17s.fits.gz,good,3.0
dark_2460278_15s,B&C,15.0,2460278.176549405,2023-11-29T16:09:02.34,/local/jack/src/Pouakai/output/master/dark/dark_2460278_15s.fits.gz,good,7.0
dark_2460278_13s,B&C,13.0,2460278.174766358,2023-11-29T15:54:59.53,/local/jack/src/Pouakai/output/master/dark/dark_2460278_13s.fits.gz,good,3.0
dark_2460278_120s,B&C,120.0,2460278.1791196377,2023-11-29T16:34:36.01,/local/jack/src/Pouakai/output/master/dark/dark_2460278_120s.fits.gz,good,3.0
dark_2460278_10s,B&C,10.0,2460278.1736202934,2023-11-29T15:53:12.03,/local/jack/src/Pouakai/output/master/dark/dark_2460278_10s.fits.gz,good,3.0
dark_2460275_60s,B&C,60.0,2460275.17493831,2023-11-26T16:11:54.67,/local/jack/src/Pouakai/output/master/dark/dark_2460275_60s.fits.gz,good,3.0
dark_2460275_300s,B&C,300.0,2460275.166059568,2023-11-26T15:59:11.05,/local/jack/src/Pouakai/output/master/dark/dark_2460275_300s.fits.gz,good,3.0
dark_2460275_0s,B&C,0.0,2460275.168734461,2023-11-26T16:09:42.42,/local/jack/src/Pouakai/output/master/dark/dark_2460275_0s.fits.gz,good,4.0
dark_2460273_90s,B&C,90.0,2460272.826584581,2023-11-24T16:16:23.52,/local/jack/src/Pouakai/output/master/dark/dark_2460273_90s.fits.gz,good,9.0
dark_2460273_60s,B&C,60.0,2460272.825767965,2023-11-24T16:15:12.96,/local/jack/src/Pouakai/output/master/dark/dark_2460273_60s.fits.gz,good,9.0
dark_2460273_180s,B&C,180.0,2460272.829258784,2023-11-24T16:03:50.33,/local/jack/src/Pouakai/output/master/dark/dark_2460273_180s.fits.gz,good,9.0
