name,band,telescope,exptime,jd,date,filename,dark_file,time_diff,nimages,flat_type,note
flat_2459830_60d_R,R,B&C,1.5,2459830,2022-09-06T06:34:21.51,/local/jack/src/Pouakai/output/master/flat/flat_2459830_60d_R.fits.gz,,,44,,good
flat_2459828_60d_r,r,B&C,10.0,2459828,2022-09-05T18:32:44.12,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_r.fits.gz,,,52,,good
flat_2459828_60d_i,i,B&C,3.0,2459828,2022-09-02T18:41:01.37,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_i.fits.gz,,,77,,good
flat_2459828_60d_g,g,B&C,10.0,2459828,2022-09-04T18:32:51.62,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_g.fits.gz,,,42,,good
flat_2459828_60d_V,V,B&C,5.0,2459828,2022-09-04T18:38:24.25,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_V.fits.gz,,,32,,good
flat_2459828_60d_SII,SII,B&C,6.0,2459828,2022-09-06T06:21:05.66,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_SII.fits.gz,,,44,,good
flat_2459828_60d_R,R,B&C,1.5,2459828,2022-09-06T06:34:21.51,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_R.fits.gz,,,41,,good
flat_2459828_60d_OIII,OIII,B&C,7.0,2459828,2022-09-02T18:56:31.46,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_OIII.fits.gz,,,62,,good
flat_2459828_60d_Halpha,Halpha,B&C,10.0,2459828,2022-09-04T18:57:36.99,/local/jack/src/Pouakai/output/master/flat/flat_2459828_60d_Halpha.fits.gz,,,50,,good
flat_2459827_60d_r,r,B&C,12.0,2459827,2022-09-02T18:38:01.93,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_r.fits.gz,,,33,,good
flat_2459827_60d_i,i,B&C,3.0,2459827,2022-09-02T18:41:01.37,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_i.fits.gz,,,40,,good
flat_2459827_60d_g,g,B&C,10.0,2459827,2022-09-04T18:32:51.62,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_g.fits.gz,,,23,,good
flat_2459827_60d_V,V,B&C,5.0,2459827,2022-09-04T18:38:24.25,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_V.fits.gz,,,10,,good
flat_2459827_60d_SII,SII,B&C,13.0,2459827,2022-09-02T18:52:24.32,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_SII.fits.gz,,,24,,good
flat_2459827_60d_R,R,B&C,2.0,2459827,2022-09-04T18:41:42.06,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_R.fits.gz,,,12,,good
flat_2459827_60d_OIII,OIII,B&C,7.0,2459827,2022-09-02T18:56:31.46,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_OIII.fits.gz,,,42,,good
flat_2459827_60d_Halpha,Halpha,B&C,10.0,2459827,2022-09-04T18:57:36.99,/local/jack/src/Pouakai/output/master/flat/flat_2459827_60d_Halpha.fits.gz,,,38,,good
flat_2459686_60d_r,r,B&C,10.0,2459686,2022-04-17T11:16:47.07,/local/jack/src/Pouakai/output/master/flat/flat_2459686_60d_r.fits.gz,,,54,,good
flat_2459684_60d_r,r,,3.0,2459684,2022-04-14T18:48:25.13,/local/jack/src/Pouakai/output/master/flat/flat_2459684_60d_r.fits.gz,,,23,,good
flat_2459684_60d_i,i,,5.0,2459684,2022-04-12T18:47:15.60,/local/jack/src/Pouakai/output/master/flat/flat_2459684_60d_i.fits.gz,,,34,,good
flat_2459684_60d_g,g,,5.0,2459684,2022-04-14T18:44:34.57,/local/jack/src/Pouakai/output/master/flat/flat_2459684_60d_g.fits.gz,,,21,,good
flat_2459682_60d_r,r,,12.0,2459682,2022-04-12T18:42:16.66,/local/jack/src/Pouakai/output/master/flat/flat_2459682_60d_r.fits.gz,,,10,,good
flat_2459682_60d_i,i,,5.0,2459682,2022-04-12T18:47:15.60,/local/jack/src/Pouakai/output/master/flat/flat_2459682_60d_i.fits.gz,,,24,,good
flat_2459682_60d_g,g,,12.0,2459682,2022-04-12T18:40:31.60,/local/jack/src/Pouakai/output/master/flat/flat_2459682_60d_g.fits.gz,,,9,,good
flat_2459617_60d_r,r,,9.0,2459617,2022-01-30T17:05:07.47,/local/jack/src/Pouakai/output/master/flat/flat_2459617_60d_r.fits.gz,,,79,,good
flat_2459617_60d_g,g,,30.0,2459617,2022-01-30T16:56:52.79,/local/jack/src/Pouakai/output/master/flat/flat_2459617_60d_g.fits.gz,,,42,,good
flat_2459617_60d_V,V,,7.0,2459617,2022-01-30T17:06:30.16,/local/jack/src/Pouakai/output/master/flat/flat_2459617_60d_V.fits.gz,,,77,,good
flat_2459610_60d_r,r,,9.0,2459610,2022-01-30T17:05:07.47,/local/jack/src/Pouakai/output/master/flat/flat_2459610_60d_r.fits.gz,,,73,,good
flat_2459610_60d_g,g,,30.0,2459610,2022-01-30T16:56:52.79,/local/jack/src/Pouakai/output/master/flat/flat_2459610_60d_g.fits.gz,,,38,,good
flat_2459610_60d_V,V,,7.0,2459610,2022-01-30T17:06:30.16,/local/jack/src/Pouakai/output/master/flat/flat_2459610_60d_V.fits.gz,,,69,,good
flat_2459608_60d_r,r,,7.0,2459608,2022-01-27T08:36:22.21,/local/jack/src/Pouakai/output/master/flat/flat_2459608_60d_r.fits.gz,,,67,,good
flat_2459608_60d_g,g,,30.0,2459608,2022-01-25T16:46:48.91,/local/jack/src/Pouakai/output/master/flat/flat_2459608_60d_g.fits.gz,,,28,,good
flat_2459606_60d_r,r,,7.0,2459606,2022-01-27T08:36:22.21,/local/jack/src/Pouakai/output/master/flat/flat_2459606_60d_r.fits.gz,,,59,,good
flat_2459606_60d_g,g,,30.0,2459606,2022-01-25T16:46:48.91,/local/jack/src/Pouakai/output/master/flat/flat_2459606_60d_g.fits.gz,,,25,,good
flat_2459606_60d_V,V,,2.0,2459606,2022-01-25T17:06:42.72,/local/jack/src/Pouakai/output/master/flat/flat_2459606_60d_V.fits.gz,,,60,,good
flat_2459605_60d_r,r,,8.0,2459605,2022-01-25T16:59:03.16,/local/jack/src/Pouakai/output/master/flat/flat_2459605_60d_r.fits.gz,,,35,,good
flat_2459605_60d_g,g,,30.0,2459605,2022-01-25T16:46:48.91,/local/jack/src/Pouakai/output/master/flat/flat_2459605_60d_g.fits.gz,,,14,,good
flat_2459605_60d_V,V,,2.0,2459605,2022-01-25T17:06:42.72,/local/jack/src/Pouakai/output/master/flat/flat_2459605_60d_V.fits.gz,,,35,,good
flat_2458726_60d_u,u,,1.0,2458726,2019-08-31T06:03:33,/local/jack/src/Pouakai/output/master/flat/flat_2458726_60d_u.fits.gz,,,4,,good
flat_2458726_60d_g,g,,5.0,2458726,2019-08-30T05:08:16,/local/jack/src/Pouakai/output/master/flat/flat_2458726_60d_g.fits.gz,,,23,,good
flat_2458726_60d_V,V,,5.0,2458726,2019-08-30T04:10:55,/local/jack/src/Pouakai/output/master/flat/flat_2458726_60d_V.fits.gz,,,22,,good
flat_2458726_60d_R,R,,0.6,2458726,2019-08-30T04:06:45,/local/jack/src/Pouakai/output/master/flat/flat_2458726_60d_R.fits.gz,,,22,,good
flat_2458726_60d_B,B,,50.0,2458726,2019-08-30T03:31:35,/local/jack/src/Pouakai/output/master/flat/flat_2458726_60d_B.fits.gz,,,32,,good
flat_2458725_60d_z,z,,0.1,2458725,2019-08-30T04:32:15,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_z.fits.gz,,,20,,good
flat_2458725_60d_i,i,,0.1,2458725,2019-08-30T05:22:35,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_i.fits.gz,,,20,,good
flat_2458725_60d_g,g,,5.0,2458725,2019-08-30T05:08:16,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_g.fits.gz,,,20,,good
flat_2458725_60d_V,V,,5.0,2458725,2019-08-30T04:10:55,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_V.fits.gz,,,20,,good
flat_2458725_60d_R,R,,0.6,2458725,2019-08-30T04:06:45,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_R.fits.gz,,,20,,good
flat_2458725_60d_I,I,,0.1,2458725,2019-08-30T04:20:45,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_I.fits.gz,,,20,,good
flat_2458725_60d_B,B,,50.0,2458725,2019-08-30T03:31:35,/local/jack/src/Pouakai/output/master/flat/flat_2458725_60d_B.fits.gz,,,27,,good
flat_2459399_60d_r,r,,5.0,2459399,2021-07-04T05:37:00.95,/local/jack/src/Pouakai/output/master/flat/flat_2459399_60d_r.fits.gz,,,4,,good
flat_2459399_60d_i,i,,15.0,2459399,2021-07-04T05:42:05.96,/local/jack/src/Pouakai/output/master/flat/flat_2459399_60d_i.fits.gz,,,5,,good
flat_2459399_60d_g,g,,10.0,2459399,2021-07-04T05:41:45.09,/local/jack/src/Pouakai/output/master/flat/flat_2459399_60d_g.fits.gz,,,2,,good
